YEAR,BANKS, TOTAL ASSETS , DEPOSITS DOMESTIC DEMAND , TOTAL DEPOSITS , TOTAL FOREIGN DEPOSITS , INTEREST BEARING DEPOSITS , FOREIGN DEPOSITS - INTEREST BEARING , DEPOSITS - NON-INTEREST BEARING , FOREIGN DEPOSITS - NON INTEREST BEARING , TOTAL EQUITY CAPITAL , NET INCOME ," DEPOSITS - INDIVIDUALS, PARTNERSHIPS AND CORPORATIONS ", DEPOSITS - US GOVT , DEPOSITS - STATE & POLITICAL SUB-DIVISIONS , DEPOSITS - ALL OTHER , DEPOSITS - DOMESTIC SAVINGS , TOTAL DOMESTIC DEPOSITS , DOMESTIC DEPOSITS - NON-TRANSACTION , DEPOSITS - DOMESTIC TIME , DOMESTIC DEPOSITS - TRANSACTION,LOCATIONS
1983,14469,"2,342,101,000.00","389,527,000.00","1,842,503,000.00","308,399,000.00","1,451,703,000.00","308,399,000.00","390,799,000.00",,"140,537,000.00","14,931,000.00","1,524,819,000.00","3,409,000.00","83,339,000.00","230,935,000.00","463,839,000.00","1,534,104,000.00","1,137,047,000.00","680,738,000.00","397,058,000.00",United States & Other Areas
1982,14451,"2,193,339,000.00","370,860,000.00","1,705,689,000.00","306,756,000.00","1,334,828,000.00","306,756,000.00","370,860,000.00",,"128,833,000.00","14,996,000.00","1,372,786,000.00","3,375,000.00","87,673,000.00","241,855,000.00","304,208,000.00","1,398,979,000.00","1,022,048,000.00","723,911,000.00","376,931,000.00",United States & Other Areas
1981,14414,"2,028,982,000.00","384,273,000.00","1,588,782,000.00","318,504,000.00","1,204,509,000.00","318,504,000.00","384,273,000.00",,"118,303,000.00","14,803,000.00","1,251,402,000.00","3,561,000.00","82,525,000.00","251,295,000.00","223,450,000.00","1,269,349,000.00","880,357,000.00","661,626,000.00","388,993,000.00",United States & Other Areas
1980,14434,"1,855,687,000.00","431,540,000.00","1,481,162,000.00","294,011,000.00","1,049,623,000.00","294,011,000.00","431,540,000.00",,"107,594,000.00","14,010,000.00","1,118,042,000.00","3,491,000.00","81,455,000.00","278,178,000.00","200,871,000.00","1,187,152,000.00","751,962,000.00","554,741,000.00","435,187,000.00",United States & Other Areas
1979,14364,"1,691,789,000.00","430,691,000.00","1,362,805,000.00","272,493,000.00","932,114,000.00","272,493,000.00","430,691,000.00",,"97,241,000.00","12,838,000.00","1,002,172,000.00","3,617,000.00","83,319,000.00","273,696,000.00","206,568,000.00","1,090,312,000.00","656,785,000.00","453,053,000.00","433,527,000.00",United States & Other Areas
1978,14391,"1,507,936,000.00","399,460,000.00","1,233,403,000.00","220,619,000.00","833,943,000.00","220,619,000.00","399,460,000.00",,"87,441,000.00","10,759,000.00","907,128,000.00","3,861,000.00","84,576,000.00","237,838,000.00","220,399,000.00","1,012,784,000.00","611,328,000.00","392,925,000.00","401,455,000.00",United States & Other Areas
1977,14411,"1,339,376,000.00","378,723,000.00","1,116,618,000.00","187,343,000.00","550,446,000.00","187,343,000.00","378,723,000.00",,"79,264,000.00","8,879,000.00","775,304,000.00","8,220,000.00","76,387,000.00","69,259,000.00","220,090,000.00","929,169,000.00","548,806,000.00","330,356,000.00","380,363,000.00",United States & Other Areas
1976,14410,"1,182,412,000.00","333,963,000.00","991,913,000.00","160,986,000.00","496,961,000.00","160,986,000.00","333,963,000.00",,"72,270,000.00","7,843,000.00","695,594,000.00","3,776,000.00","68,107,000.00","63,447,000.00","203,926,000.00","830,924,000.00","495,008,000.00","293,035,000.00","335,916,000.00",United States & Other Areas
1975,14384,"1,086,673,571.00","321,423,000.00","915,856,000.00","135,109,000.00","459,326,000.00","135,109,000.00","321,423,000.00",,"63,853,571.00","7,255,000.00","645,305,000.00","3,715,000.00","66,990,000.00","64,739,000.00","160,654,000.00","780,749,000.00","457,617,000.00","298,672,000.00","323,132,000.00",United States & Other Areas
1974,14230,"1,037,197,280.00","314,417,000.00","871,225,000.00","125,113,000.00","431,996,000.00","125,113,000.00","314,417,000.00",,"59,221,280.00","7,078,920.00","604,638,000.00","5,322,000.00","68,898,000.00","67,556,000.00","136,258,000.00","746,412,902.00","430,580,000.00","295,737,902.00","315,833,000.00",United States & Other Areas
1973,13976,"824,959,797.00","309,106,000.00","681,619,000.00",,"372,513,000.00",,"309,106,000.00",,"53,829,446.00","6,581,866.00","555,152,000.00","10,328,000.00","63,333,000.00","52,807,000.00","127,775,000.00","681,619,359.00","371,179,000.00","244,738,359.00","310,441,000.00",United States & Other Areas
1972,13733,"730,901,706.00","296,391,000.00","616,907,567.00",,"320,516,000.00",,"296,391,000.00",,"48,387,043.00","5,655,762.00","504,284,000.00","11,554,000.00","56,001,000.00","45,069,000.00","124,188,000.00","616,906,760.00","319,368,000.00","196,327,760.00","297,539,000.00",United States & Other Areas
1971,13612,"633,573,367.00","262,278,862.00","539,184,062.00",,"276,905,000.00",,"262,279,000.00",,"44,062,293.00","5,236,361.00","439,568,884.00","10,794,020.00","48,193,138.00","40,628,020.00","112,166,000.00","539,184,111.00","275,990,000.00","164,739,249.00","263,194,000.00",United States & Other Areas
1970,13511,"570,158,397.00","247,166,000.00","482,506,000.00",,"235,339,000.00",,"247,166,000.00",,"40,589,130.00","4,837,040.00","395,242,000.00","8,380,000.00","41,072,000.00","37,811,000.00","98,811,000.00","482,505,000.00","234,772,000.00","136,528,000.00","247,733,000.00",United States & Other Areas
1969,13473,"524,645,322.00","240,130,785.00","436,989,665.00",,"196,859,000.00",,"240,131,000.00",,"37,687,737.00","4,333,850.00","365,934,821.00","5,273,098.00","30,819,102.00","34,962,644.00","93,796,302.00","436,990,087.00","196,582,000.00","103,063,000.00","240,408,000.00",United States & Other Areas
1968,13487,"500,160,338.00","228,724,682.00","434,651,699.00",,"205,927,000.00",,"228,725,000.00",,"34,518,862.00","3,786,000.00","361,993,247.00","5,389,074.00","35,996,204.00","31,273,174.00","96,166,256.00","434,651,699.00","205,614,000.00","109,760,761.00","229,037,000.00",United States & Other Areas
1967,13514,"450,646,791.00","210,456,955.00","395,795,923.00",,"185,339,000.00",,"210,457,000.00",,"32,017,791.00","3,508,846.00","329,860,033.00","5,524,451.00","31,465,672.00","28,945,767.00","94,451,458.00","395,795,923.00","184,998,000.00","90,887,510.00","210,797,000.00",United States & Other Areas
1966,13538,"402,898,789.00","191,737,364.00","352,840,159.00",,"161,103,000.00",,"191,737,000.00",,"29,963,789.00","3,039,647.00","293,565,757.00","5,247,763.00","28,520,619.00","25,506,020.00","90,076,746.00","352,840,159.00","160,922,000.00","71,026,049.00","191,918,000.00",United States & Other Areas
1965,13544,"375,394,111.00","183,836,865.00","331,512,681.00",,"147,676,000.00",,"183,837,000.00",,"28,252,233.00","2,861,412.00","275,205,357.00","5,805,146.00","26,411,697.00","24,090,481.00","92,554,897.00","331,512,681.00",,"55,120,919.00",,United States & Other Areas
1964,13493,"345,130,205.00","178,691,247.00","306,230,277.00",,"127,539,000.00",,"178,691,000.00",,"26,627,450.00","2,602,000.00","252,983,403.00","6,791,238.00","23,296,604.00","23,159,032.00","82,966,971.00","306,230,277.00",,"44,572,059.00",,United States & Other Areas
1963,13291,"311,790,148.00","162,952,144.00","274,646,629.00",,"111,694,000.00",,"162,953,000.00",,"25,191,682.00","2,393,000.00","228,042,312.00","7,014,845.00","20,145,093.00","19,444,379.00","76,413,701.00","274,646,629.00",,"35,280,784.00",,United States & Other Areas
1962,13124,"295,983,003.00","163,216,578.00","261,443,531.00",,"98,227,000.00",,"163,217,000.00",,"23,732,173.00","2,348,000.00","216,424,179.00","7,108,970.00","18,490,921.00","19,419,461.00","71,043,588.00","261,443,531.00",,"27,183,365.00",,United States & Other Areas
1961,13115,"277,374,117.00","165,092,941.00","247,904,875.00",,"82,812,000.00",,"165,093,000.00",,"22,100,863.00","2,374,000.00","203,088,106.00","6,240,061.00","17,657,724.00","20,918,984.00","63,887,535.00","247,904,873.00",,"18,924,397.00",,United States & Other Areas
1960,13126,"256,322,119.00","155,709,317.00","228,993,232.00",,"73,284,000.00",,"155,709,000.00",,"20,634,423.00","2,257,000.00","188,016,114.00","6,211,733.00","16,160,655.00","18,604,730.00","73,283,915.00","228,993,232.00",,,,United States & Other Areas
1959,13114,"243,421,960.00","151,538,240.00","219,011,505.00",,"67,473,000.00",,"151,539,000.00",,"19,204,591.00","1,553,000.00","182,247,441.00","5,343,919.00","14,553,238.00","16,866,907.00","67,473,265.00","219,011,505.00",,,,United States & Other Areas
1958,13124,"237,474,461.00","149,487,971.00","215,168,651.00",,"65,681,000.00",,"149,488,000.00",,"18,164,535.00","2,082,000.00","178,227,000.00","4,611,303.00","14,453,973.00","17,876,375.00","65,680,680.00","215,168,651.00",,,,United States & Other Areas
1957,13165,"221,534,482.00","142,827,445.00","200,485,251.00",,"57,658,000.00",,"142,827,000.00",,"17,058,612.00","1,578,000.00","166,116,840.00","4,205,916.00","13,399,893.00","16,762,602.00","57,657,806.00","200,485,251.00",,,,United States & Other Areas
1956,13218,"216,145,685.00","144,384,676.00","196,507,125.00",,"52,122,000.00",,"144,385,000.00",,"15,991,637.00","1,476,000.00","162,348,150.00","4,098,833.00","12,768,808.00","17,291,334.00","52,122,449.00","196,507,125.00",,,,United States & Other Areas
1955,13237,"209,145,179.00","141,037,486.00","190,988,628.00",,"49,951,000.00",,"141,038,000.00",,"14,979,667.00","1,320,000.00","158,104,999.00","4,096,475.00","12,504,712.00","16,282,442.00","49,951,142.00","190,988,628.00",,,,United States & Other Areas
1954,13323,"200,588,794.00","134,782,730.00","183,309,223.00",,"48,526,000.00",,"134,783,000.00",,"14,254,784.00","1,473,000.00","150,177,045.00","4,557,016.00","12,191,751.00","16,383,408.00","48,526,493.00","183,309,223.00",,,,United States & Other Areas
1953,13432,"191,062,168.00","130,289,223.00","175,083,481.00",,"44,794,000.00",,"130,289,000.00",,"13,242,084.00","1,070,000.00","143,667,798.00","4,485,767.00","11,372,959.00","15,556,957.00","44,794,258.00","175,083,481.00",,,,United States & Other Areas
1952,13439,"186,682,379.00","129,992,116.00","171,357,027.00",,"41,365,000.00",,"129,992,000.00",,"12,560,406.00","1,067,000.00","140,639,327.00","5,295,847.00","10,424,408.00","14,998,445.00","41,364,911.00","171,357,027.00",,,,United States & Other Areas
1951,13455,"177,448,839.00","124,879,989.00","163,171,949.00",,"38,292,000.00",,"124,880,000.00",,"11,904,422.00","1,047,000.00","134,914,676.00","3,642,049.00","9,832,660.00","14,782,564.00","38,291,960.00","163,171,949.00",,,,United States & Other Areas
1950,13446,"166,792,478.00","117,006,559.00","153,497,611.00",,"36,491,000.00",,"117,007,000.00",,"11,261,294.00","1,072,000.00","127,479,756.00","2,989,340.00","9,282,493.00","13,746,022.00","36,491,052.00","153,497,611.00",,,,United States & Other Areas
1949,13436,"155,318,639.00","107,145,560.00","143,194,309.00",,"36,049,000.00",,"107,145,000.00",,"10,626,718.00","968,000.00","118,929,218.00","3,239,185.00","8,657,191.00","12,368,715.00","36,048,749.00","143,194,309.00",,,,United States & Other Areas
1948,13419,"152,162,826.00","105,154,865.00","140,682,521.00",,"35,528,000.00",,"105,155,000.00",,"10,137,998.00","941,000.00","118,073,459.00","2,442,097.00","8,266,549.00","11,900,416.00","35,527,656.00","140,682,521.00",,,,United States & Other Areas
1947,13403,"152,773,209.00","106,934,598.00","141,888,666.00",,"34,954,000.00",,"106,935,000.00",,"9,706,384.00","775,000.00","120,260,311.00","1,437,589.00","7,521,129.00","12,669,637.00","34,954,068.00","141,888,666.00",,,,United States & Other Areas
1946,13359,"147,365,393.00","103,416,303.00","137,030,000.00",,"33,613,000.00",,"103,417,000.00",,"9,253,025.00","894,000.00","115,024,528.00","3,051,672.00","6,632,984.00","12,320,105.00","33,612,986.00","137,029,289.00",,,,United States & Other Areas
1945,13302,"157,582,209.00","117,847,138.00","147,811,000.00",,"29,964,000.00",,"117,847,000.00",,"8,629,317.00","894,000.00","104,485,741.00","23,846,295.00","5,595,417.00","13,883,529.00","29,963,844.00","147,810,982.00",,,,United States & Other Areas
1944,13268,"134,612,745.00","101,793,313.00","125,752,000.00",,"23,958,000.00",,"101,794,000.00",,"7,943,680.00","736,000.00","88,866,298.00","19,867,331.00","4,943,810.00","12,074,356.00","23,958,482.00","125,751,795.00",,,,United States & Other Areas
1943,13274,"112,246,361.00","84,956,088.00","104,116,000.00",,"19,160,000.00",,"84,956,000.00",,"7,454,361.00","623,000.00","78,587,442.00","10,075,014.00","4,748,556.00","10,704,765.00","19,159,689.00","104,115,777.00",,,,United States & Other Areas
1942,13347,"95,459,010.00","71,559,350.00","87,820,000.00",,"16,261,000.00",,"71,559,000.00",,"7,056,010.00","426,000.00","64,053,749.00","8,228,698.00","4,393,493.00","11,144,487.00","16,261,077.00","87,820,427.00",,,,United States & Other Areas
1941,13430,"76,827,000.00","53,560,860.00","69,421,000.00",,"15,860,000.00",,"53,561,000.00",,"6,842,000.00","436,000.00","52,775,906.00","1,821,250.00","4,169,752.00","10,653,776.00","13,261,402.00","69,420,573.00",,"2,598,311.00",,United States & Other Areas
1940,13442,"70,720,000.00","47,716,084.00","63,470,000.00",,"15,754,000.00",,"47,716,000.00",,"6,673,000.00","383,000.00","48,374,365.00","735,467.00","3,820,675.00","10,539,096.00","13,062,315.00","63,469,603.00",,"2,691,204.00",,United States & Other Areas
1939,13538,"63,146,526.00","40,839,329.00","56,076,349.00",,"15,237,000.00",,"40,839,000.00",,"6,524,370.00","370,000.00","42,280,674.00","859,402.00","3,413,160.00","9,523,113.00","12,622,325.00","56,076,349.00",,"2,614,695.00",,United States & Other Areas
1938,13661,"56,800,254.00","34,949,194.00","49,778,676.00",,"14,829,000.00",,"34,950,000.00",,"6,435,254.00","281,000.00","38,084,157.00","924,062.00","3,516,769.00","7,253,688.00","12,195,956.00","49,778,676.00",,"2,633,526.00",,United States & Other Areas
1937,13797,"54,212,416.00","32,364,469.00","47,223,688.00",,"14,859,000.00",,"32,365,000.00",,"6,404,042.00","357,000.00","36,912,075.00","927,269.00","3,256,196.00","6,128,148.00","12,100,322.00","47,223,688.00",,"2,758,897.00",,United States & Other Areas
1936,13973,"56,210,481.00","35,147,022.00","49,283,126.00",,"14,136,000.00",,"35,147,000.00",,"6,328,702.00","490,000.00","37,833,757.00","1,086,301.00","3,263,286.00","7,099,782.00","11,491,137.00","49,283,126.00",,"2,644,967.00",,United States & Other Areas
1935,14125,"50,925,635.00","30,779,759.00","44,147,311.00",,"13,368,000.00",,"30,779,000.00",,"6,209,425.00","174,000.00","33,512,482.00","1,161,236.00","3,079,425.00","6,394,168.00","10,575,116.00","44,147,311.00",,"2,792,436.00",,United States & Other Areas
1934,14146,"46,448,076.00","26,332,555.00","39,015,142.00",,"12,683,000.00",,"26,332,000.00",,"6,151,567.00","-357,000.00","29,253,208.00","2,210,959.00","2,600,622.00","4,950,353.00","9,708,911.00","39,015,142.00",,"2,973,676.00",,United States & Other Areas
